"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
".0,LORA0","2","REGLETA_HEMBRA_8","","","","board:1X08",""
"BUS_B0","1","AK500/4-H","","","","board:AK500_4-H",""
"C1,C3","2","1uF","","","","board:C2.5-2",""
"C2,C4","2","0.1uF","","","","board:C2.5-2",""
"C5","1","470uF","","","","board:E3,5-8",""
"DISPLAY0,PORT1,PORT2,PORT3","4","GP4","","","","board:1X04",""
"DS3231,HW-125,SIM800L0,_0","4","REGLETA_HEMBRA_6","","","","board:1X06",""
"ESP32","1","ESP32DEVKITV1","","","","board:ESP32-DEVKITV1",""
"JP1,JP2,JP4,JP5,JP6,JP7,JP8,JP9,JP10,JP11,JP12,JP13,JP14,JP15,JP16,JP17,JP18,JP19,JP20,JP21,JP22,JP23,JP24,JP25,JP26,JP27,JP28,JP29,JP30,JP31,JP34,JP35,JP36,JP37,JP39,JP40,JP41,JP42,JP43,JP44,JP45,JP46","42","PINHD-1X1","","","","board:1X01",""
"LEDS0","1","GP6","","","","board:1X06",""
"PI_PICO0","1","RASPBERRY_PICOTH","","","","board:PICO-PKG-TH",""
"R1,R2,R3,R4,R5,R7","6","220","","","","board:0204_7",""
"R6","1","330","","","","board:0204_7",""
"R8","1","1k","","","","board:0204_7",""
"R9","1","510","","","","board:0204_7",""
"REG4.2V0,REG5V0","2","LM350","","","","board:317TS",""
"SERIAL0","1","REGLETA_MACHO","","","","board:1X03",""
"VBAT0","1","GP2","","","","board:1X02",""
"VBAT_B0","1","AK500/2-H","","","","board:AK500_2-H",""
"V_I2C0,V_PICO0","2","REGLETA_MACHO_2","","","","board:1X02",""
"_?","1","REGLETA_HEMBRA_4","","","","board:1X04",""
