"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BOARD1","1","ESP32DEVKITV1","","","","BOARD:ESP32-DEVKITV1",""
"C1,C2,C3,C4","4",".1uF","","","","BOARD:C5B2.5",""
"D1,D2","2","1N4004","","","","BOARD:D-7.5",""
"IC1,IC2","2","LM317TS","","","","BOARD:317TS",""
"JP1,JP2,JP3,JP4,JP5,JP6,JP11,JP12","8","PINHD-1X1","","","","BOARD:1X01",""
"R1","1","330","","","","BOARD:0204_7",""
"R2","1","1k","","","","BOARD:0204_7",""
"R3","1","390","","","","BOARD:0204_7",""
"R4","1","3.3K","","","","BOARD:0204_7",""
"RTC0","1","REGLETA_HEMBRA_4","","","","BOARD:1X04",""
"SD0","1","REGLETA_6","","","","BOARD:1X06",""
"SELECT0","1","REGLETA_MACHO_3","","","","BOARD:1X03",""
"X1","1","AK500/4-H","","","","BOARD:AK500_4-H",""
"X2,X3,X4","3","AK500/2-H","","","","BOARD:AK500_2-H",""
"_0","1","REGLETA_HEMBRA_6","","","","BOARD:1X06",""
