"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
".0,PI_PICO0","2","PINHD-1X20","","","","board1:1X20",""
"A0,TMP0","2","GP3","","","","board1:1X03",""
"BMS0,PWR_BNK0,V_BAT0","3","GP2","","","","board1:1X02",""
"C1,C4","2","1uF","","","","board1:C025-024X044",""
"C2,C3","2","0.1uF","","","","board1:C025-024X044",""
"D0_1,D0_2,GND1,GND2,GND3,GND4,GND5,UNK3V1,UNK3V31,UNK3V32,VCC1,VCC2,VMIC1,VMIC2","14","PINHD-1X1","","","","board1:1X01",""
"D1,D2","2","1N4004","","","","board1:DO41-10",""
"I2C_OUT0,RX0,V+0","3","GP4","","","","board1:1X04",""
"LORA0,_0","2","REGLETA_HEMBRA_8","","","","board1:1X08",""
"PIC0","1","PIC16F62P","","","","board1:DIL18",""
"Q1","1","TIP127","","","","board1:TO220",""
"R1,R2,R3","3","1k","","","","board1:0204_7",""
"R4","1","4.7k","","","","board1:0204_7",""
"REG5V0,REG9V0","2","78TV","","","","board1:TO220V",""
"TEST0","1","REGLETA_MACHO_2","","","","board1:1X02",""
"UNK12_V0","1","PJ-002A","","","","board1:CUI_PJ-002A",""
"V_IN0","1","AK500/2-H","","","","board1:AK500_2-H",""
"V_SEL0","1","REGLETA_MACHO_3","","","","board1:1X03",""
